epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.382,1.61772,3.26803,1.76931,0.00763,0.86364,0.02682,0.00975,1.74212,3.32745,1.93854,3.334e-05,3.334e-05,3.334e-05
2,156.932,1.51649,3.21761,1.68138,0.00765,0.86364,0.03486,0.01412,1.65186,3.29138,1.84856,8.16997e-05,8.16997e-05,8.16997e-05
3,202.257,1.32018,3.1813,1.54219,0.0082,0.90909,0.12009,0.06514,1.63352,3.25333,1.84333,0.000128079,0.000128079,0.000128079
4,239.495,1.46816,3.09948,1.73699,0.00819,0.90909,0.26803,0.139,1.54608,3.24512,1.759,0.000172478,0.000172478,0.000172478
5,275.489,1.28588,2.95063,1.48809,0.00823,0.90909,0.3343,0.20126,1.51108,3.23977,1.76605,0.000214896,0.000214896,0.000214896
6,309.653,1.34054,2.91521,1.5466,0.00836,0.90909,0.32229,0.19555,1.45824,3.30835,1.74203,0.000255334,0.000255334,0.000255334
7,342.418,1.11146,2.75569,1.39927,0.00778,0.86364,0.35254,0.22383,1.49557,3.32822,1.79721,0.000293792,0.000293792,0.000293792
8,392.924,1.24913,2.71094,1.49739,0.00781,0.86364,0.37735,0.23527,1.55596,3.3479,1.80909,0.000330269,0.000330269,0.000330269
9,478.78,1.25099,2.6212,1.42948,0.00726,0.81818,0.38311,0.24094,1.56269,3.38105,1.83474,0.000364766,0.000364766,0.000364766
10,558.162,1.20117,2.48993,1.36712,0.00611,0.72727,0.4374,0.26037,1.57692,3.34337,1.84704,0.000397283,0.000397283,0.000397283
11,610.145,1.17629,2.33491,1.39822,0.00611,0.72727,0.38893,0.19742,1.64504,3.3151,1.8876,0.000427819,0.000427819,0.000427819
12,662.035,1.12816,2.17374,1.37433,0.00664,0.77273,0.41528,0.23926,1.60528,3.30719,1.86048,0.000456375,0.000456375,0.000456375
13,703.669,1.1976,2.16668,1.4146,0.00715,0.81818,0.43947,0.23451,1.61277,3.24465,1.88718,0.00048295,0.00048295,0.00048295
14,753.053,1.13033,2.09277,1.35164,0.00714,0.81818,0.39628,0.19819,1.68773,3.23689,1.94144,0.000507545,0.000507545,0.000507545
15,812.723,1.20912,1.96268,1.37591,0.00714,0.81818,0.39628,0.19819,1.68773,3.23689,1.94144,0.000530159,0.000530159,0.000530159
16,873.965,1.1247,1.84818,1.39566,0.00664,0.77273,0.38116,0.16966,1.8245,3.20966,2.08571,0.000550793,0.000550793,0.000550793
17,943.898,1.13702,1.83738,1.4014,0.07385,0.72727,0.53846,0.22955,1.77234,3.1008,2.04605,0.000569447,0.000569447,0.000569447
18,994.345,1.16207,1.66854,1.43548,0.07385,0.72727,0.53846,0.22955,1.77234,3.1008,2.04605,0.000586121,0.000586121,0.000586121
